experiment_id,network,embedding_model,category,prompt_or_pair,ftle,r_squared,num_pairs,num_timesteps
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,1.0735868579722325e-5,4.3124450397447056e-5,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,-0.0017872904932767322,0.20366405532585852,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,-0.0016491902023744512,0.23522602459117103,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,-9.144981127931566e-4,0.11850675142013112,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,-0.0011475998451277428,0.12403877680992459,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,-6.559316524838207e-4,0.06465761958683869,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,-0.0014705655283785194,0.32253533061956907,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.0023660766946525563,0.2680027549265721,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0027738339708853576,0.35885613171455566,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.002135339215367223,0.38350671902110034,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.0044690202331356225,0.4877364119177654,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.001752583569274495,0.2085705598324321,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,6.354946884817329e-4,0.05005399060756277,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.00425652576905648,0.5127238114447495,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.001746750356161643,0.31447720959753744,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.003912330470287671,0.47931496458186484,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.003420411708095072,0.5294694005871132,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.006410140258165732,0.6754914609644928,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.004452430247741445,0.6500922849435161,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.004821893919466649,0.6542743375947215,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.00538063678850848,0.7046008231990342,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.005138842598276937,0.7275794861256848,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.0059532376897602456,0.6837141532450459,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.00554674100462496,0.7380066444916835,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.0045532170863102905,0.7763483056508724,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.0049670917489463935,0.7785048778254721,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.004605371899666105,0.7596557198393928,64,100
